teamCode,teamName,squadNumber,position,commonName,originalName,dateOfBirthIso,club,zhName,sourceId,sourceLabel,sourceDescription,searchQuery,confidence,reviewReason
ALG,Algeria,1,GK,Melvin Mastil,Melvin Feycal MASTIL,2000-02-19,FC Stade Nyonnais (SUI),,Q105846503,Melvin Mastil,法國足球運動員,Melvin Mastil,none,wikidata-match-without-zh-label
ALG,Algeria,3,DF,Achref Abada,Achref ABADA,1999-06-15,USM Alger (ALG),,Q136462891,Achref Abada,Algerian footballer (born 1999),Achref Abada,none,wikidata-match-without-zh-label
ALG,Algeria,4,DF,Mohamed Tougai,Mohamed Amine TOUGAI,2000-01-22,Espérance De Tunisie (TUN),,Q81659662,Mohamed Amine Tougai,Algerian football player,Mohamed Amine TOUGAI,none,wikidata-match-without-zh-label
ALG,Algeria,5,DF,Zineddine Belaïd,Zineddine BELAÏD,1999-03-20,JS Kabylie (ALG),,Q100273072,Zineddine Belaïd,Algerian footballer,Zineddine Belaïd,none,wikidata-match-without-zh-label
ALG,Algeria,11,FW,Anis Hadj Moussa,Anis HADJ MOUSSA,2002-02-11,Feyenoord Rotterdam (NED),,Q121946144,Anis Hadj Moussa,Algerian footballer (born 2002),Anis Hadj Moussa,none,wikidata-match-without-zh-label
ALG,Algeria,12,FW,Ahmed Benbouali,Ahmed Nadhir BENBOUALI,2000-04-17,Györi ETO FC (HUN),,,,,,none,no-wikidata-match
ALG,Algeria,13,DF,Jaouen Hadjam,Jaouen Djimmy HADJAM,2003-03-26,BSC Young Boys (SUI),,Q98561102,Jaouen Hadjam,French and Algerian footballer,Jaouen Hadjam,none,wikidata-match-without-zh-label
ALG,Algeria,16,GK,Oussama Benbot,Oussama BENBOT,1994-10-11,USM Alger (ALG),,Q84601192,Oussama Benbot,Algerian footballer,Oussama Benbot,none,wikidata-match-without-zh-label
ALG,Algeria,17,DF,Rak Belghali,Rak BELGHALI,2002-06-07,Hellas Verona FC (ITA),,,,,,none,no-wikidata-match
ALG,Algeria,20,FW,Adil Boulbina,Adil BOULBINA,2003-05-02,Al Duhail SC (QAT),,,,,,none,no-wikidata-match
ALG,Algeria,22,MF,Ibrahim Maza,Ibrahim MAZA,2005-11-24,Bayer 04 Leverkusen (GER),,Q118118504,Ibrahim Maza,德国足球运动员,Ibrahim Maza,none,wikidata-match-without-zh-label
ALG,Algeria,24,MF,Yassine Titraoui,Yassine M E G TITRAOUI,2003-07-26,Sporting Charleroi (BEL),,,,,,none,no-wikidata-match
ALG,Algeria,25,FW,Fares Ghedjemis,Fares GHEDJEMIS,2002-09-06,Frosinone (ITA),,,,,,none,no-wikidata-match
ALG,Algeria,26,DF,Samir Chergui,Samir Sophian CHERGUI,1999-02-06,Paris FC (FRA),,,,,,none,no-wikidata-match
ARG,Argentina,8,MF,Valentin Barco,Valentin BARCO,2004-07-23,RC Strasbourg (FRA),,,,,,none,no-wikidata-match
ARG,Argentina,21,FW,Jose Lopez,Jose Manuel Alberto LOPEZ,2000-12-06,SE Palmeiras (BRA),,,,,,none,no-wikidata-match
ARG,Argentina,23,GK,Damián Martínez,Damián Emiliano MARTÍNEZ,1992-09-02,Aston Villa FC (ENG),,,,,,none,no-wikidata-match
ARG,Argentina,26,DF,Nahuel Molina Lucero,Nahuel MOLINA LUCERO,1998-04-06,Atlético De Madrid (ESP),,,,,,none,no-wikidata-match
AUS,Australia,2,DF,Milos Degenek,Milos DEGENEK,1994-04-28,APOEL FC (CYP),,,,,,none,no-wikidata-match
AUS,Australia,9,FW,Mohamed Toure,Mohamed A TOURE,2004-03-26,Norwich City FC (ENG),,Q84593316,Mohamed Touré,Australian-Guinean association football player,Mohamed Toure,none,wikidata-match-without-zh-label
AUS,Australia,15,DF,Kai Trewin,Kai Clifton TREWIN,2001-05-18,New York City FC (USA),,Q87400019,Kai Trewin,Australian soccer player (born 2001),Kai Trewin,none,wikidata-match-without-zh-label
AUS,Australia,25,DF,Lucas Herrington,Lucas HERRINGTON,2007-09-05,Colorado Rapids (USA),,Q133105064,Lucas Herrington,Australian soccer player,Lucas Herrington,none,wikidata-match-without-zh-label
AUS,Australia,26,FW,Tete Yengi,Tete Owen YENGI,2000-11-28,FC Machida Zelvia (JPN),,Q104604531,Tete Yengi,Australian soccer player (born 2000),Tete Yengi,none,wikidata-match-without-zh-label
AUT,Austria,12,GK,Florian Wiegele,Florian WIEGELE,2001-03-21,FC Viktoria Plzeň (CZE),,Q123335801,Florian Wiegele,奥地利男子足球运动员,Florian Wiegele,none,wikidata-match-without-zh-label
AUT,Austria,25,DF,Michael Svoboda,Michael SVOBODA,1998-10-15,Venezia FC (ITA),,Q55813157,Michael Svoboda,奥地利男子足球运动员,Michael Svoboda,none,wikidata-match-without-zh-label
BEL,Belgium,11,FW,Jeremy Doku,Jeremy Baffour DOKU,2002-05-27,Manchester City FC (ENG),,,,,,none,no-wikidata-match
BEL,Belgium,18,DF,Joaquin Seys,Joaquin Ronny SEYS,2005-03-28,Club Brugge (BEL),,Q113510252,Joaquin Seys,比利时男子足球运动员,Joaquin Seys,none,wikidata-match-without-zh-label
BEL,Belgium,25,DF,Nathan Ngoy,Nathan NGOY,2003-06-10,Lille OSC (FRA),,,,,,none,no-wikidata-match
BIH,Bosnia And Herzegovina,1,GK,Nikola Vasilj,Nikola VASILJ,1995-12-02,FC St. Pauli (GER),,Q77243490,Nikola Vasilj,Bosnian association football player,Nikola Vasilj,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,3,DF,Dennis Hadžikadunić,Dennis HADŽIKADUNIĆ,1998-07-09,UC Sampdoria (ITA),,Q27654739,Dennis Hadžikadunić,Bosnian-Swedish association football player,Dennis Hadžikadunić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,4,DF,Tarik Muharemović,Tarik MUHAREMOVIĆ,2003-02-28,US Sassuolo (ITA),,Q106620882,Tarik Muharemović,Bosnian association football player,Tarik Muharemović,none,wikidata-match-without-zh-label
